match,tournament,actual,predicted,hit1X2,hitOU25,brier,kMatchHome,kMatchAway,agreementHome,agreementAway,cvLocal,leagueAvgGoals,lambdaMin,lambdaMax,clampHomeMinHit,clampHomeMaxHit,clampAwayMinHit,clampAwayMaxHit,hAtkN,aDefN,aAtkN,hDefN,lambdaHome_dcBase,lambdaAway_dcBase,lambdaHome_initialClamp,lambdaAway_initialClamp,lambdaHome_final,lambdaAway_final,dLog_behavMod_home,dLog_behavMod_away,dLog_urgencyMod_home,dLog_urgencyMod_away,dLog_lqr_home,dLog_lqr_away,dLog_xgOver_home,dLog_xgOver_away,dLog_ref_home,dLog_ref_away,dLog_clean_home,dLog_clean_away,dLog_scaling_home,dLog_scaling_away,dLog_shrinkage_home,dLog_shrinkage_away
"Flamengo vs Vasco da Gama","Brasileirão Betano","2-2","3-0",0,1,1.0936,1.1736255190029283,1.1677067045570726,0.7387068230214987,0.7135246456522948,0.23503982038876506,1.3175182481751824,0.01,4.859789702224592,0,0,0,0,4,4,4,4,2.878294,0.711346,2.899898,0.713966,2.906738,0.71565,0.007478,0.003676,0,0,,,,,0.002356,0.002356,,,,,,
"São Paulo vs Bahia","Brasileirão Betano","2-2","1-0",0,0,1.0626,1.174514669297512,1.1683048344832416,0.7424898002766419,0.716069448167799,0.23503982038876506,1.3175182481751824,0.01,4.419562626801973,0,0,0,0,4,4,4,4,2.102407,0.635955,2.115612,0.636433,2.106083,0.633567,0.006261,0.000751,0,0,,,,,-0.004514,-0.004514,,,,,,
"Chapecoense vs Red Bull Bragantino","Brasileirão Betano","1-2","0-1",1,1,0.5009,1.1721647883449642,1.1598222259500286,0.7324920009732689,0.6799793570539512,0.23503982038876506,1.3175182481751824,0.01,3.998169474977096,0,0,0,0,4,4,4,4,1.243324,1.749845,1.219435,1.778818,0.827519,1.207121,-0.019401,0.016422,0,0,,,,,-0.014715,-0.014715,,,-0.372996,-0.372996,,
"Internacional vs Fluminense","Brasileirão Betano","2-0","1-0",1,0,0.4698,1.1721301447088142,1.1724454453299544,0.732344606220785,0.7336860836803012,0.23503982038876506,1.3175182481751824,0.01,3.5361169538571104,0,0,0,0,4,4,4,4,1.460237,0.840891,1.47622,0.83547,1.447412,0.819166,0.010886,-0.006468,0,0,,,,,-0.019707,-0.019707,,,,,,
"Mirassol vs Corinthians","Brasileirão Betano","2-1","0-1",0,0,0.5844,1.174679548328771,1.1705979872334815,0.7431912943085318,0.7258258917629603,0.23503982038876506,1.3175182481751824,0.01,4.098007634920454,0,0,0,0,4,4,4,4,1.032991,1.110937,1.0278,1.119063,1.147699,1.249609,-0.005038,0.007288,0,0,,,,,0.012047,0.012047,,,0.098292,0.098292,,
"FC Volendam vs SC Heerenveen","VriendenLoterij Eredivisie","0-2","1-0",0,0,0.5448,1.2201304085365354,1.221932530626356,0.7329098522296279,0.7389099003071783,0.30035127494447494,1.5850694444444444,0.01,4.322660256024384,0,0,0,0,4,4,4,4,1.460368,1.292711,1.444848,1.336959,1.459328,1.350358,-0.010684,0.033656,0,0,,,,,0.009972,0.009972,,,,,,
"Fortuna Sittard vs Feyenoord","VriendenLoterij Eredivisie","1-2","1-2",1,1,0.4364,1.2242682762327088,1.2191514990050198,0.7466866131138234,0.7296506367270579,0.30035127494447494,1.5850694444444444,0.01,4.65481366260733,0,0,0,0,4,4,4,4,1.281945,1.92342,1.224065,2.066999,1.221778,2.063137,-0.046201,0.071993,0,0,,,,,-0.00187,-0.00187,,,,,,
"PEC Zwolle vs Heracles Almelo","VriendenLoterij Eredivisie","1-0","2-0",1,0,0.4364,1.2133647773937537,1.2165856345148418,0.7103841241666037,0.7211077580905269,0.30035127494447494,1.5850694444444444,0.01,4.890634322395277,0,0,0,0,4,4,4,4,3.843738,0.704626,3.895436,0.709336,2.341019,0.426286,0.01336,0.006663,0,0,,,,,0.015947,0.015947,,,-0.525167,-0.525167,,
"AZ Alkmaar vs FC Twente","VriendenLoterij Eredivisie","2-2","2-1",0,0,0.9491,1.2167136368775866,1.2179022411524683,0.7215339336170615,0.7254913141046305,0.30035127494447494,1.5850694444444444,0.01,4.186394270184712,0,0,0,0,4,4,4,4,1.543486,1.219439,1.567716,1.21956,2.118296,1.647868,0.015576,0.000099,0,0,,,,,-0.030351,-0.030351,,,0.331343,0.331343,,
"Sparta Rotterdam vs Go Ahead Eagles","VriendenLoterij Eredivisie","2-2","1-0",0,0,0.86,1.223840336163675,1.2194384905457487,0.7452618145371804,0.730606156362465,0.30035127494447494,1.5850694444444444,0.01,3.7227822773666657,0,0,0,0,4,4,4,4,1.32602,0.992866,1.313099,0.988228,1.297671,0.976617,-0.009792,-0.004682,0,0,,,,,-0.011819,-0.011819,,,,,,
"Antalyaspor vs Alanyaspor","Trendyol Süper Lig","0-0","0-1",0,1,0.9046,1.257261307258616,1.2593891171757776,0.7305320623843493,0.736574297743059,0.35215607980155295,1.3072916666666667,0.01,3.9565988366438525,0,0,0,0,4,4,4,4,1.20618,1.960772,1.190763,1.994627,0.906609,1.518646,-0.012865,0.017119,0,0,,,,,0.044679,0.044679,,,-0.317318,-0.317318,,
