match,tournament,actual,predicted,hit1X2,hitOU25,brier,kMatchHome,kMatchAway,agreementHome,agreementAway,cvLocal,leagueAvgGoals,lambdaMin,lambdaMax,clampHomeMinHit,clampHomeMaxHit,clampAwayMinHit,clampAwayMaxHit,hAtkN,aDefN,aAtkN,hDefN,lambdaHome_dcBase,lambdaAway_dcBase,lambdaHome_initialClamp,lambdaAway_initialClamp,lambdaHome_final,lambdaAway_final,dLog_behavMod_home,dLog_behavMod_away,dLog_urgencyMod_home,dLog_urgencyMod_away,dLog_lqr_home,dLog_lqr_away,dLog_xgOver_home,dLog_xgOver_away,dLog_ref_home,dLog_ref_away,dLog_clean_home,dLog_clean_away,dLog_scaling_home,dLog_scaling_away,dLog_shrinkage_home,dLog_shrinkage_away
"Arsenal vs Atlético Madrid","UEFA Champions League, Knockout stage","1-0","1-0",1,0,0.3385,1.2683937947748696,1.2262665016785474,0.7178387787419336,0.6051662609091969,0.37389146800518336,1.6909722222222223,0.01,4.541547372446047,0,0,0,0,4,4,4,4,2.255503,0.370811,2.280667,0.359257,2.236548,0.352307,0.011095,-0.031655,0,0,,,,,-0.019534,-0.019534,,,,,,
"FC Bayern München vs Paris Saint-Germain","UEFA Champions League, Knockout stage","1-1","1-1",1,1,0.8498,1.243559844706404,1.2597773836651647,0.6514185680830443,0.6947935588130708,0.37389146800518336,1.6909722222222223,0.01,4.597815342836122,0,0,0,0,4,4,4,4,1.545757,1.537021,1.554768,1.55195,2.089725,2.085938,0.005812,0.009666,0,0,,,,,-0.017714,-0.017714,,,0.313421,0.313421,,
"RKC Waalwijk vs Willem II Tilburg","Keuken Kampioen Playoffs","0-1","0-1",1,0,0.4341,1.2176277363385968,1.2185254130825907,0.7245773682126999,0.7275661244420846,0.30035127494447494,1.5850694444444444,0.01,5.479526668362493,0,0,0,0,4,4,4,4,0.960624,2.003748,0.912934,1.955144,0.914813,1.997539,-0.050919,-0.024556,0,0,,,0.002056,0.021453,,,,,,,,
